অভিধান	ôbhidhan
বাংলা	bangla
বাংলা	Bangla
মৌল	moul
মৌলিক	moulik
বিভিন্নতা	bibhinnôta
খবর	khôbôr
রামাদান	ramadan
-ঈ	-i
ফৌজি	phouji
সংবাদ	shôngbad
ইতিমধ্যে	itimôddhe
গণপ্রজাতন্ত্রী বাংলাদেশ	Gônoprojatontri Bangladesh
বাংলাদেশ	Bangladesh
রংপুর বিভাগ	Rôngpur bibhag
রাজশাহী বিভাগ	Rajshahi bibhag
বরিশাল বিভাগ	Bôrishal bibhag
ঢাকা বিভাগ	Ḑhaka bibhag
খুলনা বিভাগ	Khulna bibhag
চট্টগ্রাম বিভাগ	Côţţôgram bibhag
সিলেট বিভাগ	Sileţ bibhag
উপজেলা	upôjela
ভরানো	bhôrano
পদ্মা নদী	Pôdda nôri
জাফলং	Japhlông
বাঙালি নদী	Bangali nôdi
লেখা	lekha
লেখক	lekhôk
লিখিত	likhitô
পড়া	pôŗa
ঘামা	ghama
ঘামানো	ghamano
ঘাম	gham
হৃৎপিন্ড	hritpinḑô
হৃদয়	hridôy
হৃৎপিন্ড	hritpinḑô
হার্ট	harţ
দাঁড়ানো	dãŗano
হাসানো	hashano
আল্লাহু আকবার	Allahu akbar
আল্লাহু আকবর	Allahu akbôr
স্বপ্ন দেখা	shôpnô dekha
স্বপ্নচারি	shôpnôcari
স্বপ্নচারিতা	shôpnôcarita
স্বপ্নহীন	shôpnôhin
স্বাপ্নিক	shapnik
পশম	pôshôm
বাল	bal
যত	jôtô
বেরিয়ে আসা	beriẏe asha
যাওয়া	jaoẇa
আন্তর্জাল	antôrjal
ল্যাপটপ কম্পিউটার	lêpţôp kômpiuţar
কম্পিউটিং	kômpiuţing
কম্পিউটার	kômpiuţar
সফটওয়্যার	sôfţ-owar
হার্ডওয়্যার	harḑ-owar
বৈজ্ঞানিক	boigganik
উপসাগর	upôshagôr
বিদেশি	bideshi
চলনবিল	Côlônbil
উপজেলা	upôjela
সৈয়দপুর	Soiẏedpur
আগ্রাবাদ	Agrabad
চট্টগ্রাম	Côţţôgram
চট্টগ্রাম বিভাগ	Côţţôgram bibhag
চট্টগ্রাম জেলা	Côţţôgram jela
বীর্যপাত	birjôpat
বীর্যস্খলন	birjôskhôlôn
হাত মারা	hat mara
চাওয়া	chaoẇa
থাকানো	thakano
পশ্চিমবঙ্গ	Pôshcimbônggô
পশ্চিম বঙ্গ	Pôshcim Bônggô
পশ্চিমবাংলা	Pôshcimbangla
পশ্চিম বাংলা	Pôshcim Bangla
পূর্ববাংলা	Purbôbangla
পূর্ব বাংলা	Purbô Bangla
একটা কিছু	ekţa kichu
উইকিঅভিধান	uikiabhidhān
ঝুলানো	jhulano
গাছ	gach
পাকিস্তান	Pakistan
ইসলামি	islami
ইসলামী	islami
সময়োপযোগী	shômôẏopôjogi
সময়কাল	shômôẏkal
কি না	ki na
গণতান্ত্রিক সমাজতান্ত্রিক প্রজাতন্ত্রী শ্রীলঙ্কা	gaṇatāntrika samājatāntrika prajātantrī śrīlaṅkā
শ্রীলঙ্কা	Shrilôngka
গণতান্ত্রিক	gônôtantrik
সমাজতান্ত্রিক	shômajtantrik
উগ্রতা	ugrôta
গীটার	giţar
ইলেকট্রিক গিটার	ilekţrik giţar
ইলেকট্রিক গীটার	ilekţrik giţar
বেস গিটার	bes giţar
বেস গীটার	bes giţar
বিদেশী	bideshi
বিদেশি	bideshi
বিদেশী	bideshi
বৈদেশিক	boideshik
ধার্মিক	dharmik
ভাষাবৈজ্ঞানিক	bhashaboigganik
ধোয়া	dhoa
ধোওয়া	dhoa
অসভ্য	ôshôbbhô
ভারতীয় ময়ূর	Bhartiẹ môyur
ময়ূরী	môyuri
পেখম	pekhôm
ভারত	Bharôt
ময়ূর	môyur
ভাঙানো	bhangano
মুরগি	murgi
মোরগ	morôg
গুইসাপ	guishap
গোসাপ	goshap
মাকড়শা	makôŗsha
মাকড়সার জাল	makôŗshar jal
মাকড়শার জাল	makôŗshar jal
মাকড়সা	makôŗsha
মাকড়শার জাল	makôŗshar jal
মাকড়সার জাল	makôŗshar jal
হাঙ্গর	hanggôr
হাঙর	hangôr
সাপ	shap
সাপুড়ে	shapuŗe
বাতাস	batash
হাওয়া	haoẇa
বায়ু	baẏu
হাওয়া	haoẇa
বাতাস	batash
বায়ু	baẏu
বিশ্লেষণ করা	bisleshôn kôra
ফটোগ্রাফ	fôţograf
ফটোগ্রাফি	fôţografi
ফটোগ্রাফী	fôţografi
ফটো	fôţo
ফটোগ্রাফি	fôţografi
ফটোগ্রাফী	fôţografi
ফটোগ্রাফী	fôţografi
ফটো	fôţo
ফটোগ্রাফ	fôţograf
ফটোগ্রাফি	fôţografi
ফটো	fôţo
ফটোগ্রাফ	fôţograf
বাদামি	badami
কেনানো	kenano
বেচা	beca
বেচানো	becano
কেনা	kena
ঝরানো	jhôrano
গর্ভবতী	gôrbhôbôti
গর্ভধারণ	gôrbhôdharôn
গর্ভধারণ	gôrbhôdharôn
বিশেষ করা	bishesh kôra
সাংস্কৃতিক	sangskritik
মেলানো	melano
ভৌগলিক	bhougôlik
ভৌগোলিক	bhougolik
আজকার	ajkar
আজকের	ajker
আজকাল	ajkal
আজকে	ajke
গতকাল	gôtôkal
আগামিকাল	agamikal
ধান	dhan
মধ্যমস্তিষ্ক	môddhômôstishkô
মস্তিষ্কহীন	môstishkôhin
ফুলানো	phulano
ফোলানো	pholano
ডার্ক চকলেট	ḑark côkôleţ
প্রমাণ করা	prôman kôra
প্রমাণিত	prômanit
পতাকা	pôtaka
ফ্ল্যাগ	flêg
অপরাধ করা	ôpôradh kôra
অপরাধমূলক	ôpôradhmulôk
অথবা	ôthôba
বা	ba
অথবা	ôthôba
কিংবা	kingba
সতর্ক থাকা	sôtôrkô thaka
সতর্ক করা	sôtôrkô kôra
সতর্কীকরণ	sôtôrkikôrôn
দুর্গতি	durgôti
উচ্চ মাধ্যমিক শিক্ষা	uccô maddhômik shikkha
উচ্চশিক্ষা	uccôshikkha
শিক্ষা করা	shikkha kôra
শিক্ষা দেওয়া	shikkha deoa
শিক্ষাপ্রতিষ্ঠান	shikkhaprôtishtan
শিক্ষাপ্রাপ্ত	shikkhapraptô
শিক্ষামূলক	shikkhamulôk
শেখা	shekha
বৃষ্টি পড়া	brishţi pôŗa
বৃষ্টি হওয়া	brishţi hôoẇa
বৃষ্টিপাত	brishţipat
অভিযোগ করা	ôbhijog kôra
পরীক্ষা করা	pôrikkha kôra
শোনা	shona
শ্রবণ	srôbôn
শ্রবণ করা	srôbôn kôra
ধার্মিক	dharmik
সামাজিক	samajik
নীরবে	nirôbe
নীরবতা	nirôbôta
ছোঁয়া	chõa
লাগানো	lagano
এর পর	er pôr
এরপরে	erpôre
এর পরে	er pôre
তারপর	tarpôr
তার পর	tar pôr
তারপরে	tarpôre
তার পরে	tar pôre
এগনো	egôno
ক্যাব	kêb
পশ্চিম বঙ্গ	Pôshcim Bônggô
ভারতীয় বঙ্গ	Bhārôtiô Bônggô
বঙ্গদেশ	Bônggôdesh
বাঙালী	Bangali
বাঙালি	Bangali
বাংলা	Bangla
বাংলাদেশ	Bangladesh
বাংলাদেশী	Bangladeshi
বাংলাদেশি	Bangladeshi
গঙ্গা	Gôngga
নৈসর্গিক	noishôrgik
ওখান	okhan
সেখান	shekhan
পেশাদার	peshadar
গণিকাবৃত্তি	gônikabritti
ওভাবে	obhabe
কিভাবে	kibhabe
কীভাবে	kibhabe
কীভাবে	kibhabe
এভাবে	ebhabe
কিভাবে	kibhabe
এভাবে	ebhabe
উল্কি আঁকা	ulki ãka
উল্কিকরণ	ulkikôrôn
খাড়া ধন	khaŗa dhôn
খাড়াধন	khaŗadhôn
নির্বাচন করা	nirbacôn kôra
কমিশনার	kômishônar
সাহায্য করা	shahajjô kôra
সাহায্যকারী	shahajjôkari
ব্যাঙ্ক	bêngk
ব্যাংক	bêngk
সিলেটি	Sileţi
সিলেটি ভাষা	Sileţi bhasha
খাড়াধন	khaŗadhôn
খাড়া ধন	khaŗa dhôn
ধাক্কা দেওয়া	dhakka deoa
অণ্ডকোষ	ônḑôkosh
শুক্রাশয়	shukrashôy
অন্ডকোষ	ônḑôkosh
শুক্রাশয়	shukrashôy
আঞ্চলিক	ancôlik
আঞ্চলিক	ancôlikta
আঞ্চলিকতা	ancôlikta
অকারণ	ôkarôn
কারণে	karône
ঢোকা	ḑhoka
মাখানো	makhano
শোয়ানো	soẇano
শুয়ে পড়া	suẏe pôŗa
খোলা	khola
হাত পা	hat pa
হাত-পা	hat-pa
হড়কানি	haŗkani
শিখানো	shikhano
নওয়ানো	naoẇano
খানকী	khanki
বৃষ্টি পড়া	pôŗa
মুসলমান	musôlman
মুসলিম	muslim
লড়াই	lôŗai
লড়াকু	lôŗaku
লড়ানো	lôŗano
উভকামিতা	ubhôkamita
সমকামিতা	sômôkamita
ইচ্ছা হওয়া	iccha hôoẇa
ইচ্ছাকৃত	icchakritô
আষাঢ়	Ashaŗh
শ্রাবণ	Srabon
নাঙ্গা	nangga
নগ্নতা	nôgnôta
নগ্ন	nôgnô
বিবাদ করা	bibad kôra
বিবাদি	bibadi
বিবাদী	bibadi
মনযোগ	mônôjog
মনোযোগ দেওয়া	mônojog deoẇa
মনোযোগী	mônojogi
অনুরোধ করা	ônurodh kôra
অনুরোধে	ônurodhe
কাল্পনিক	kalpônik
বসা	bôsha
অপেক্ষা করা	ôpekha kôra
অপেক্ষাকৃত	ôpekhakritô
তুমি কেমন আছো?	tumi kêmôn acho?
তুই কেমন আছিস?	tui kêmôn achish?
আপনি কেমন আছেন?	apni kêmôn achen?
তুই কেমন আছিস?	tui kêmôn achish?
আপনি কেমন আছেন?	apni kêmôn achen?
তুমি কেমন আছো?	tumi kêmôn acho?
ঢেউ	ḑheu
তরঙ্গ	tôrônggô
পদার্থবিজ্ঞান	pôdarthôbiggan
চন্দ্রগ্রহণ	côndrôgrôhôn
সূর্যগ্রহণ	surjôgrôhôn
জীববৈজ্ঞানিক	pôdarthôboigganik
নম্বর	nômbôr
পছন্দ করা	pôchôndô kôra
আলোচনা করা	alocôna kôra
আলোচনা হওয়া	alocôna hôoẇa
যৌনসঙ্গম	jounsônggôm
হস্তমৈথুন	hôstômoithun
নিষিদ্ধ করা	nishiddhô kôra
জংলি	jôngli
জঙ্গল	jônggôl
জঙ্গল	jônggôl
বাঁদর	bãdôr
বানর	banôr
জানোয়ার	janoẇar
প্রাণী	prani
ইগল	igôl
কেউ	keu
একটা কেউ	ekţa keu
কেউ না	keu na
সবাই	shôbai
কেউ একটা	keu ekţa
একটা কেউ	ekţa keu
কেউ না	keu na
সবাই	shôbai
কেউ	keu
সবাই	shôbai
আমি জানি না	ami jani na
আমি জানি না	ami jani na
আমি জানতে চাই	ami jante cai
রেড ওয়াইন	reḑ oẇain
ল্যাপটপ কম্পিউটার	lêpţôp kômpiuţar
কিলোবাইট	kilobaiţ
মেগাবাইট	megabaiţ
গিগাবাইট	gigabaiţ
টেরাবাইট	ţerabaiţ
প্রবঞ্চনামূলক	prôbôncônamulôk
বেশি	beshi
আলোর দ্রুতি	alor druti
বেগুনী	beguni
বেগুনী	beguni
কাল	kalô
মধ্যম পুরুষ	môddhôm purush
প্রথম পুরুষ	prôthôm purush
উত্তম পুরুষ	uttôm purush
প্রথম পুরুষ	prôthôm purush
উত্তম পুরুষ	uttôm purush
মধ্যম পুরুষ	môddhôm purush
কিছু না	kichu na
কিছু একটা	kichu ekţa
একটা কিছু	ekţa kichu
কিছুক্ষন	kichukkhôn
কিছুতে	kichute
কিছুতেই না	kichutei na
কিছু কিছু	kichu kichu
কিছু না কিছু	kichu na kichu
কিছু একটা	kichu ekţa
কিছুতেই না	kichutei na
কিছু না কিছু	kichu na kichu
ঈদ মোবারাক	id mobarak
ঈদ মোবারক	id mobarôk
ঈদ মুবারক	id mubarôk
ঈদ মোবারাক	id mobarak
ঈদ মুবারাক	id mubarak
ঈদ মুবারক	id mubarôk
ঈদ মোবারাক	id mobarak
ঈদ মোবারক	id mobarôk
ঈদ মোবারাক	id mobarak
ঈদ মোবারক	id mobarôk
ঈদ মুবারাক	id mubarak
ঈদ মোবারক	id mobarôk
ঈদ মুবারাক	id mubarak
ঈদ মোবারক	id mobarôk
ঈদ মুবারাক	id mubarak
ঈদ মুবারক	id mubarôk
শান্ত করা	shantô kôra
শান্তি	shanti
বিশ্রি	bisri
বর্ণনা করা	bôrnôna kôra
বর্ণনাতীত	bôrnônatitô
রাজস্থানি	Rajôsthani
রাজস্থানী	Rajôsthani
অ্যালিগেটর	êligeţôr
ওখানে	okhane
সেখানে	shekhane
এখান	ekhan
সেখান	shekhan
এখান	ekhan
ওখান	okhan
এখানে	ekhane
সেখানে	shekhane
এখানে	ekhane
ওখানে	okhane
জাগানো	jagano
দৈহিক	doihik
কোথায়	kothaẏ
পরিষ্কার	pôrishkar
পরিস্কার	pôrishkar
সাফ করা	saph kôra
পরে	pôre
আগে	age
এরপর	erpôr
এর পর	er pôr
তারপর	tarpôr
তার পর	tar pôr
বন্ধ করা	bôndhô kôra
বীর্য	birjô
বাংলাদেশি	Bangladeshi
বাংলাদেশী	Bangladeshi
হাগু	hagu
হাগা	haga
মতো	môto
চালা	cala
চালানো	calano
তার পর	tar pôr
তারপরে	tarpôre
তার পরে	tar pôre
এরপর	erpôr
এর পর	er pôr
এরপরে	erpôre
এর পরে	er pôre
এরপর	erpôr
এরপরে	erpôre
এর পরে	er pôre
তারপর	tarpôr
তার পর	tar pôr
তারপরে	tarpôre
তার পরে	tar pôre
তারপর	tarpôr
তারপরে	tarpôre
তার পরে	tar pôre
এরপর	erpôr
এর পর	er pôr
এরপরে	erpôre
এর পরে	er pôre
এরপর	erpôr
এর পর	er pôr
এরপরে	erpôre
তারপর	tarpôr
তার পর	tar pôr
তারপরে	tarpôre
তার পরে	tar pôre
এরপর	erpôr
এর পর	er pôr
এর পরে	er pôre
তারপর	tarpôr
তার পর	tar pôr
তারপরে	tarpôre
তার পরে	tar pôre
তারপর	tarpôr
তার পর	tar pôr
তারপরে	tarpôre
এরপর	erpôr
এর পর	er pôr
এরপরে	erpôre
এর পরে	er pôre
তারপর	tarpôr
তার পর	tar pôr
তার পরে	tar pôre
এরপর	erpôr
এর পর	er pôr
এরপরে	erpôre
এর পরে	er pôre
সহস্র	shôhôsrô
মত	môtô
ফটক	phôṭôkô
ধোঁয়াটে	dhõẇaţe
জ্বালাতন করা	jalatôn kôra
বেদনাদায়ক	bedônadaẏôk
সিন্ধুঘোটক	shindhughoţôk
চোখ	cokh
চোখ	cokh
অন্ধকার	ôndhôkar
অন্ধকূপ	ôndhôkup
অন্ধত্ব	ôndhôttô
অন্ধপ্রায়	ôndhôpraẏ
অন্ধবিন্দু	ôndhôbindu
অন্ধবিশ্বাস	ôndhôbishash
অন্ধভাবে	ôndhôbhabe
ডিকশনারী	ḑikshônari
অভিধান	ôbhidhan
লোকাল এরিয়া নেটওয়ার্ক	lokal eriẏa neţoẇark
মোটাসোটা	moţasoţa
মূত্রনালী	mutrônali
মূত্রনালি	mutrônali
মূত্রনালী	mutrônali
মূত্রনালি	mutrônali
প্রস্রাব	prôsrab
ভিয়েতনামীয়	Bhiẏetnamiẹ
ভিয়েতনামীয় ভাষা	Bhiẏetnamiẹ bhasha
মধ্যে	môddhe
মধ্যক	môddhôk
মধ্যপ্রাচ্য	môddhôpracô
মধ্যরাত	môddhôrat
সৃষ্টিকর্তা	srishţikôrta
রক্তপাতহীন	rôktôpat-hin
রক্তপাতহীন	rôktôpat-hin
রক্তহীন	rôktôhin
লিথুয়ানীয়	Lituẇaniẹ
লিথুয়ানীয় ভাষা	Lituẇaniẹ bhasha
প্রকারণ	prôkarôn
মূর্খতা	murkhôta
ব্যবহার করা	bêbôhar kôra
ব্যবহার হওয়া	bêbôhar hôoẇa
ব্যবহারকারী	bêbôharkari
ব্যবহার্য	bêbôharjô
ব্যবহারযোগ্য	bêbôharjoggô
যা কিছু	ja kichu
যা হোক	ja hok
-টা	-ţa
-রা	-ra
-এরা	-era
-গুলা	-gula
-গুলো	-gulo
রাষ্ট্রীয়	rashţriẹ
রাষ্ট্রনায়ক	rashţrônaẏôk
রাষ্ট্রপতি	rashţrôpôti
রাষ্ট্রপ্রধান	rashţrôprôdhan
রাষ্ট্রভাষা	rashţrôbhasha
খ্রিস্টান	khrisţan
প্রেম করা	prem kôra
প্রেমিক	premik
প্রেমহীন	premhin
ভালবাসা	bhalôbasha
জিব	jib
জিভ	jibh
জিভ	jibh
জিহ্বা	jihba
জিব	jib
জিহ্বা	jihba
মকান	môkan
যুক্ত করা	juktô kôra
যুক্তরাজ্য	Juktôrajjô
মার্কিন যুক্তরাষ্ট্র	Markin Juktôrashţrô
পুঞ্জীভূত	punjibhutô
পুঞ্জিভূত	punjibhutô
আকাশচুম্বী	akashcumbi
কিস করা	kis kôra
খবরদারী	khôbôrdari
খবরদারি	khôbôrdari
অন্ধ্র প্রদেশ	Ôndhrô Prôdesh
প্রাদেশিক	pradeshik
তামিল নাড়ু	Tamil Naŗu
তামিল নাড়ু	Tamil Naŗu
তামিলনাড়ু	Tamilnaŗu
বিহারী	bihari
বিহারি	bihari
উত্তরপ্রদেশ	Uttôrprôdesh
উত্তর প্রদেশ	Uttôr Prôdesh
উত্তর প্রদেশ	Uttôr Prôdesh
কেরালা	Kerala
কেরালা	Kerala
কেরল	Kerôlô
মধ্য প্রদেশ	Môddhô Prôdesh
মধ্যপ্রদেশ	Môddhôprôdesh
পশ্চিমবাংলা	Pôshcimbangla
পশ্চিম বাংলা	Pôshcim Bangla
পূর্ববাংলা	Purbôbangla
পূর্ব বাংলা	Purbô Bangla
পশ্চিম বাংলা	Pôshcim Bangla
পশ্চিম বাংলা	Pôshcim Bangla
পূর্ববাংলা	Purbôbangla
পূর্ব বাংলা	Purbô Bangla
পূর্ব বাংলা	Purbô Bangla
পূর্ব বাংলা	Purbô Bangla
পশ্চিমবাংলা	Pôshcimbangla
পশ্চিম বাংলা	Pôshcim Bangla
পশ্চিমবাংলা	Pôshcimbangla
পশ্চিমবাংলা	Pôshcimbangla
পূর্ব বাংলা	Purbô Bangla
পূর্ববাংলা	Purbôbangla
পূর্ববাংলা	Purbôbangla
পূর্ববাংলা	Purbôbangla
পশ্চিম বাংলা	Pôshcim Bangla
পশ্চিমবাংলা	Pôshcimbangla
এখন	ekhôn
কখন	kôkhôn
এরপর	erpôr
তারপর	tarpôr
এইটা	eiţa
এটা	eţa
এইটি	eiţi
এটি	eţi
ওই	oi
সেই	shei
ওইটা	oiţa
ওটা	oţa
ওইটি	oiţi
ওটি	oţi
এই	ei
সেই	shei
সেইটা	sheiţa
সেটা	sheţa
সেইটি	sheiţi
সেটি	sheţi
এই	ei
ওই	oi
মুভী	muvi
ফিল্ম	film
ভিডিও	viḑio
মুভি	muvi
ফিল্ম	film
ভিডিও	viḑio
প্লীজ	pliz
অনুগ্রহ	ônugrôhô
প্লিজ	pliz
অনুগ্রহ	ônugrôhô
চন্দ্র	côndrô
চাঁদ	cãd
অকারণে	ôkarône
আউটপুট	auţpuţ
থ্যালামাস	thêlamas
হাইপোথ্যালামাস	haipothêlamas
হাইপোথ্যালামাস	haipothêlamas
খণ্ড খণ্ড	khônḑô khônḑô
খণ্ডে খণ্ডে	khônḑe khônḑe
খণ্ড ত	khônḑô tô
খণ্ডিত	khônḑitô
ভাল	bhalô
কৃষ্ণ গহ্বর	krishnô gôhbôr
কৃষ্ণবিবর	krishnôbibôr
কৃষ্ণ বিবর	krishnô bibôr
ব্ল্যাকহোল	blêk-hol
ব্ল্যাক হোল	blêk hol
কৃষ্ণগহ্বর	krishnôgôhbôr
কৃষ্ণবিবর	krishnôbibôr
কৃষ্ণ বিবর	krishnô bibôr
ব্ল্যাকহোল	blêk-hol
ব্ল্যাক হোল	blêk hol
কৃষ্ণ বিবর	krishnô bibôr
কৃষ্ণগহ্বর	krishnôgôhbôr
কৃষ্ণ গহ্বর	krishnô gôhbôr
ব্ল্যাকহোল	blêk-hol
ব্ল্যাক হোল	blêk hol
কৃষ্ণবিবর	krishnôbibôr
কৃষ্ণগহ্বর	krishnôgôhbôr
কৃষ্ণ গহ্বর	krishnô gôhbôr
ব্ল্যাকহোল	blêk-hol
ব্ল্যাক হোল	blêk hol
ব্ল্যাক হোল	blêk hol
কৃষ্ণগহ্বর	krishnôgôhbôr
কৃষ্ণ গহ্বর	krishnô gôhbôr
কৃষ্ণবিবর	krishnôbibôr
কৃষ্ণ বিবর	krishnô bibôr
ব্ল্যাকহোল	blêk-hol
কৃষ্ণগহ্বর	krishnôgôhbôr
কৃষ্ণ গহ্বর	krishnô gôhbôr
কৃষ্ণবিবর	krishnôbibôr
কৃষ্ণ বিবর	krishnô bibôr
-এরা	-era
-টা	-ţa
-টি	-ţi
-গুলা	-gula
-গুলো	-gulo
-রা	-ra
-টা	-ţa
-টি	-ţi
-গুলা	-gula
-গুলো	-gulo
-গুলা	-gula
-টা	-ţa
-টি	-ţi
-রা	-ra
-এরা	-era
-গুলো	-gulo
-টা	-ţa
-টি	-ţi
-রা	-ra
-এরা	-era
আফগানিস্তান ইসলামী প্রজাতন্ত্র	Afganistan Islami Prôjatôntrô
আফগানিস্তান ইসলামী প্রজাতন্ত্র	Afganistan Islami Prôjatôntrô
অনিবার্য	ônibarjô
অতিরঞ্জিত	ôtirônjitô
অতিরঞ্জন	ôtirônjôn
স্নেহপ্রবণ	snehoprobôn
স্বার্থপরতা	sharthopôrta
স্বার্থপর	sharthopôr
স্বার্থপর	sharthopôr
স্বার্থপরতা	sharthopôrta
অপ্রতিষ্ঠিত	ôprôtishţhitô
প্রতিষ্ঠা	prôtishţha
প্রতিষ্ঠাতা	prôtishţhata
প্রতিষ্ঠা	prôtishţha
প্রতিষ্ঠিত	prôtishţhitô
পায়ের আঙুল	paẏer angul
হাতের আঙুল	hater angul
লিঙ্গ	linggô
শিশ্ন	shishnô
পুরুষাঙ্গ	purushanggô
পেনিস	penis
ধন	dhôn
বাড়া	baŗa
ডান্ডা	ḑanḑa
গরম	gôrôm
উষ্ণতা	ushnôta
ব্লো জব	blo jôb
ব্লো-জব	blo-jôb
গঠন করা	gôţhôn kôra
গঠিত	gôţhitô
বিদ্যুৎ	biddut
চিন্তা করা	cinta kôra
লিঙ্গ	linggô
শিশ্ন	shishnô
পুরুষাঙ্গ	purushanggô
ধন	dhôn
নুনু	nunu
বাড়া	baŗa
ডান্ডা	ḑanḑa
টি-শার্ট	ţi-sharţ
প্রকার	prôkar
নিভৃতে	nibhrite
বন্ধু	bôndhu
হাঁটু গাড়া	hãţu gaŗa
এইটা	eiţa
এটি	eţi
এইটি	eiţi
এটা	eţa
এটি	eţi
এইটি	eiţi
এটা	eţa
এইটা	eiţa
এইটি	eiţi
এটা	eţa
এইটা	eiţa
এটি	eţi
এইগুলা	eigula
এগুলো	egulo
এইগুলো	eigulo
এগুলা	egula
এগুলো	egulo
এইগুলো	eigulo
এগুলা	egula
এইগুলা	eigula
এগুলো	egulo
এগুলা	egula
এইগুলা	eigula
এইগুলো	eigulo
ওগুলা	ogula
ওইগুলা	oigula
ওগুলো	ogulo
ওগুলা	ogula
ওইগুলা	oigula
ওইগুলো	oigulo
ওইগুলা	oigula
ওগুলো	ogulo
ওইগুলো	oigulo
ওগুলা	ogula
ওগুলো	ogulo
ওইগুলো	oigulo
ওইটা	oiţa
ওটি	oţi
ওইটি	oiţi
ওটা	oţa
ওটি	oţi
ওইটি	oiţi
ওটা	oţa
ওইটা	oiţa
ওটি	oţi
ওটা	oţa
ওইটা	oiţa
ওইটি	oiţi
সেইটা	sheiţa
সেটি	sheţi
সেইটি	sheiţi
সেটা	sheţa
সেটি	sheţi
সেইটি	sheiţi
সেটা	sheţa
সেইটা	sheiţa
সেটি	sheţi
সেটা	sheţa
সেইটা	sheiţa
সেইটি	sheiţi
সেইগুলা	sheigula
সেগুলো	shegulo
সেইগুলো	sheigulo
সেগুলা	shegula
সেগুলো	shegulo
সেইগুলো	sheigulo
সেগুলা	shegula
সেইগুলা	sheigula
সেইগুলো	sheigulo
সেগুলা	shegula
সেইগুলা	sheigula
সেগুলো	shegulo
কৃত্রিম বুদ্ধিমত্তা	kritrim buddhimôtta
কৃত্রিমতা	kritrimta
প্রজাতন্ত্রী লিথুয়ানিয়া	prajātantrī lithuẏāniẏā
প্রজাতন্ত্রী লাতভিয়া	prajātantrī lātabhiẏā
ধোঁয়া	dhõẇa
ইবলিশ	iblis
সাবধান	sābdhān
ঘুম	ghuma
দক্ষিণ সুদান	dôkhin sudan
ডন কিহোতে	ŗôn kihete
ইরানী	Irani
ইরানি	Irani
এলিস দ্বীপপুঞ্জ	Ellice Islands
ধর্ম	dhôrmô
ওড়িশা	ōṛiśā
টাকা	ṭaka
সাইদ	Said
নাস্তালিক	nastalik
ফোন	phon
আপনার সাহায্য লাগবে?	apnar shahajjo lagbe?
তোমার সাহায্য লাগবে?	tomar shahajjo lagbe?
আমার প্রশ্ন আছে	amar prôshno ache
আরোগ্য	ārōgya
মুভি	muvi
ভিডিও	viḑio
বৃষ্টি পড়ছে	brishţi pôŗche
ভারতীয় প্রজাতন্ত্র	bhārôtiyô prôjatôntrô
তামাক	tamak
লুট	lūṭ
লুটা	luṭā
লুটেরা	luṭērā
বেল	bēla
ম্যান্ডেলা	mænḑela
খুলনা	khulna
শূন্য	śūnya
ফুল	phul
অঙ্গুষ্ঠ	aṅguṣṭh
সতর্ক	sôtôrkô
সরকার	sarkār
শূন্য	shunno
নব্য নাৎসীবাদ	nôbyô natsibad
রাম	ram
কুকুর	kukur
নান	nan
মটোরোলা	môţorola
অক্ষত	akṣata
পশ্চিম ইউরোপীয় সজারু	paścima i'urōpīẏa sajāru
জল	jal
পানি	pāni
রাজশাহী	rajshahi
আট	aṭ
আগুন	āgun
মরা	môra
শুওর	shuor
আমার ... লাগবে	amar ... lagbe
নখ	nôkh
তিথি	tithi
পাদা	pādā
বাজার	bājār
গাজর	gājara
পনির	panir
চন্দন	côndôn
হাঁস	hãs
বাংলা নববর্ষ	Bangla Nôbobôrsho
নাখুদা	nākhudā
নাখোদা	nākhōdā
নাসরিন	Nasrīn
নাসরীন	Nasrin
পাঞ্জাব	Panjab
আঙুল	angul
হাতের আঙুল	hater angul
পায়ের আঙুল	paẏer angul
চার	car
আসসালামু আলাইকুম	as-salamu alaikum
মজলিস	môjlis
জানালা	janala
জিহ্বা	jihba
আপনি ঈশ্বর আমাকে দেওয়া হয়েছে যে সেরা উপহার ।	apni ishbôr amake de'oẏa haẏeche ye sere uphar.
কাগজ	kagôj
জাফরাবাদী	japhôrabadī
গির্জা	girja
সাবাশ	
শত	śata
রংপুর	Rôngpur
তিন	tin
পালং	pālaṁ
